Name,About,Duration,Fav,Session,Step,Type
$100,Prioritize what ideas or features to focus on by deciding where to invest $100.,20 mins,,,📌–Prioritizing,
"Who, What, When",Leave a session with a clear plan of goals and deadlines.,10 mins,,6–Retrospective,📌–Prioritizing,
"Start, Stop, Continue Retro","Get balanced, actionable feedback from a group on a topic, project or team.",1 hour,,6–Retrospective,💬–Discussions,3 Column Sort
"Mad, Sad, Glad Retro",Get a sense of a team's feelings towards a current or previous project.,1 hour,,6–Retrospective,💬–Discussions,3 Column Sort
Three Little Pigs Retro,"Reflect on what's going well, and what could be improved with the help of a childhood fable.",1 hour,,6–Retrospective,💬–Discussions,3 Column Sort
Democratic Discussion,"Build a discussion agenda together and keep track of what's been discussed, and what needs to be discussed.",1 hour,,6–Retrospective,💬–Discussions,3 Column Sort
Fishbowl,"A self-facilitating, inclusive discussion with a large group of people.",1 hour,,,💬–Discussions,
Affinity Mapping,"Also known as Theme Sort, it make sense of large amounts of information by clustering similar things together to find the theme.",10 mins,,,📋–Core Techniques,
T-Bar Format,Put your ideas into a format that can explain itself.,30 mins,,3–Idea Storming,📋–Core Techniques,
Session Principles,Creating principles for a meeting or workshop is a 5-10 minute investment resulting in an engaged and more effective group of people.,10 mins,,,📋–Core Techniques,
Session Wizard,Set a clear purpose and structure to your meeting.,20 mins,,,📋–Core Techniques,
Ice Breakers,Warm up the room so people feel more comfortable contributing to the session you are about to run.,10 mins,,,📋–Core Techniques,
Parking Lot,Keep workshops on track by 'parking' irrelevant questions or topics.,,,,📋–Core Techniques,
Idea Storm,"A group of workshops that put a problem through its paces by gathering lots of ideas, then narrowing down and evaluating them.",,,4–Design Sprint,📋–Core Techniques,
Workshop Checklist,"Remind yourself what you need to do before, during and after a workshop.",,,,📋–Core Techniques,
Stakeholder Interviews,,1-2 hours,,,🧭–Goals,
User Interview,,1-2 hours,,,🧠–Understanding,
Testing Plan,,1 hour,,,🦺–Testing,
Difficult Behaviors,Establishing a standard of behavior at the start of a session helps prevent disruptions.,,,,📋–Core Techniques,
Diagraming,Gather insight from participants and map it with their assistance.,30 mins - 4+ hours,,,📋–Core Techniques,
